a52dec 0.7.4-9
python2-pyopenssl 16.2.0-2
python2-pyparsing 2.1.10-2
python2-rsa 3.4.2-2
python2-setuptools 1:34.3.1-1
python2-simplejson 3.10.0-2
python2-six 1.10.0-3
python2-trollius 2.1-2
python2-xdg 0.25-4
qpdf 6.0.0-2
qt4 4.8.7-12
qt5-base 5.8.0-7
qt5-declarative 5.8.0-1
qt5-location 5.8.0-1
qt5-webchannel 5.8.0-1
qt5-webengine 5.8.0-3
qt5-x11extras 5.8.0-1
qt5-xmlpatterns 5.8.0-1
randrproto 1.5.0-1
ranger 1.8.1-1
raptor 2.0.15-5
rasqal 1:0.9.33-1
re2 20170101-1
readline 7.0.003-1
recordproto 1.14.2-2
redland 1:1.0.17-3
redshift-git 1.11.r21.g639432f-1
redshift-gtk-git 1.11.r21.g639432f-1
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rofi 1.3.1-2
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
run-parts 4.8.1-1
s-nail 14.8.16-1
samba 4.5.4-1
sane 1.0.25-1
sbc 1.3-1
schroedinger 1.0.11-3
screen 4.5.1-2
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl2 2.0.5-3
sed 4.4-1
semver 5.3.0-1
shadow 4.4-3
shared-mime-info 1.8-1
simple-scan 3.22.0.1-1
sip 4.19.1-1
slack-desktop 2.5.1-1
smbclient 4.5.4-1
snappy 1.1.4-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
source-highlight 3.1.8-11
spandsp 0.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.17.0-1
startup-notification 0.12-5
strongswan 5.5.1-5
sudo 1.8.19.p2-1
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.8-1
tar 1.29-2
tcl 8.6.6-1
tdb 1.3.12-1
termdown-git 1.11.0.r13.gd1e3504-1
termite 12-1
termite-terminfo 12-1
tevent 1:0.9.31-1
texinfo 6.3-1
the_silver_searcher 1.0.2-1
thin-provisioning-tools 0.6.3-1
translate-shell 0.9.5-1
tslib 1.6-1
ttf-dejavu 2.37-1
ttf-fira-mono 2:3.206-1
ttf-fira-sans 1:4.202-1
ttf-font-awesome 4.7.0-1
ttf-hanazono 20160201-2
ttf-sazanami 20040629-9
tzdata 2017a-1
udisks2 2.1.8-1
unibilium 1.2.0-1
urlscan 0.8.3-1
urlview 0.9-12
usbutils 008-1
util-linux 2.29.2-1
v4l-utils 1.12.3-1
valgrind 3.12.0-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0329-1
vim-runtime 8.0.0329-1
virtualbox 5.1.14-3
virtualbox-host-modules-arch 5.1.14-7
vte-common 0.46.1-1
vte3-ng 0.46.1.a-1
wavpack 5.1.0-1
wayland 1.13.0-1
wayland-protocols 1.7-1
webrtc-audio-processing 0.3-2
weechat 1.7-1
wget 1.19.1-2
which 2.21-2
wildmidi 0.4.0-1
wireless_tools 30.pre9-1
wxgtk 3.0.2-6
wxgtk2.8 2.8.12.1-6
x264 2:148.20160920-1
x265 2.2-1
xapian-core 1:1.4.2-1
xautolock 2.2-4
xbitmaps 1.1.1-3
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xdg-utils 1.1.1-5
xextproto 7.3.0-1
xf86-input-evdev 2.10.5-1
xf86-input-keyboard 1.9.0-2
xf86-input-libinput 0.24.0-1
xf86-input-mouse 1.9.2-3
xf86-input-synaptics 1.9.0-1
xf86-video-ati 1:7.8.99.r38.g9035b6ab-1
xf86vidmodeproto 2.3.1-3
xfsprogs 4.9.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.20-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-7
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.2-1
xorg-server-common 1.19.2-1
xorg-server-utils 7.6-4
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.31-1
xsane 0.999-1
xsel 1.2.0.20160929-1
xterm 327-1
xvidcore 1.3.4-1
xz 5.2.3-1
yajl 2.1.0-1
yaourt 1.8.1-1
yasm 1.3.0-1
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-1
zsh 5.3.1-1
zsh-autosuggestions 0.3.3-1
zsh-syntax-highlighting 0.5.0-1
zsh-theme-powerlevel9k 0.5.0-2
